ENERGY,TIME,RA,DEC
381.66733,263610249.90913248,337.34103,-36.20764
102.614174,263610251.05812863,332.68683,-29.370153
346.38815,263610253.44451126,340.9007,-36.172
310.6927,263610254.34129933,341.29883,-33.41658
160.57617,263610254.89280674,333.89465,-33.49006
256.5713,263610255.0974261,335.02075,-32.56099
1328.6205,263610255.4537803,342.40094,-35.10048
585.896,263610255.9646299,332.04706,-37.09546
288.3996,263610256.05559605,332.40106,-29.844694
603.2146,263610257.3676064,335.44434,-37.674202
475.34045,263610257.85468328,335.281,-27.911533
162.34352,263610257.95083854,341.87488,-34.752262
248.16106,263610260.17298353,334.0433,-34.158127
447.35162,263610260.23932898,340.22357,-33.166443
461.27826,263610260.82392758,336.5557,-31.133646
245.49503,263610261.50048012,337.5779,-31.087885
130.72937,263610262.94205397,335.4286,-33.563126
118.62603,263610263.50389248,342.62,-35.186802
127.75321,263610263.57910085,339.43256,-33.953747
342.05353,263610264.38471586,342.8144,-34.650818
267.5062,263610266.54663998,340.61163,-36.506973
160.729,263610267.139401,338.37106,-33.753456
128.9252,263610269.38447696,330.9714,-36.930473
213.5059,263610270.51681033,340.59167,-32.183426
121.60343,263610270.84407648,333.34503,-33.070595
447.6745,263610271.39852446,333.47226,-31.396282
304.41168,263610272.5474749,334.93283,-29.802069
120.61348,263610272.66103813,335.21237,-31.30449
321.80856,263610273.26079133,333.93155,-33.726868
236.72285,263610274.51487473,344.44333,-35.150112
183.06027,263610274.87993488,328.5534,-38.308712
182.92891,263610275.16482747,337.48486,-31.92845
114.56346,263610276.17934638,340.36533,-33.887608
508.93518,263610276.3517971,338.56314,-35.899902
303.36465,263610276.59588152,338.66724,-29.715414
184.44357,263610277.25494233,338.46313,-36.50305
159.95369,263610278.28149474,330.44937,-37.622154
139.23589,263610278.50407213,338.42758,-32.07644
100.09714,263610279.59579894,330.88632,-37.42357
817.15594,263610280.1586827,328.89966,-38.7657
871.94293,263610280.33599386,335.1072,-29.710495
783.6199,263610282.89902467,341.277,-35.20706
150.15707,263610283.01796427,337.6856,-34.40386
395.5485,263610283.91355005,341.5157,-35.61762
180.41508,263610285.5785045,329.83884,-34.624554
101.074936,263610286.31825942,335.2161,-32.298306
373.71954,263610286.411236,343.0023,-34.444958
188.76071,263610287.27000466,337.0789,-29.122593
258.33936,263610287.65303266,334.73465,-27.21646
103.9474,263610288.08456996,339.9581,-34.249146
315.80182,263610289.42630327,344.83643,-35.299427
