ENERGY,TIME,RA,DEC
683.276,388599549.0254014,172.04738,40.019745
626.7311,388599569.31689936,170.94247,37.727303
361.82825,388599579.90704596,175.68863,39.58375
177.62471,388599588.23787224,177.322,35.23082
463.17242,388599589.4709757,169.7173,37.612328
543.1705,388599629.17709076,177.1244,39.575825
483.16397,388599671.0858899,175.49529,38.312572
504.34686,388599714.8682517,176.95183,42.268806
546.25635,388599723.7733869,175.38354,40.323593
497.01608,388602427.4372794,172.40326,35.00046
1456.198,388602692.92006487,171.75232,38.485973
364.5258,388602917.40117997,167.0306,36.84082
112.30178,388602983.805415,166.84392,36.041924
660.1212,388603024.79117566,179.08109,37.735336
581.7411,388604302.83701974,178.7239,36.62765
257.42358,388604593.6930696,173.67487,35.368725
458.11526,388610991.82392454,179.98448,39.86442
415.42572,388610999.9797842,172.7113,40.259094
316.6644,388611010.8181875,178.46098,37.122295
674.42346,388611020.7456935,171.03365,37.34747
716.6747,388611042.2325945,175.78882,41.619427
734.90674,388611044.9124539,178.27206,35.833786
1939.1261,388611048.6461967,178.14188,38.738983
835.44147,388611182.3611487,176.48877,40.41529
215.45813,388615332.01264685,174.0716,41.051502
345.5091,388615381.1044847,173.81279,39.48205
134.44238,388615765.14869237,176.32556,37.959343
119.481575,388615796.6847283,177.60603,40.109184
205.91191,388616208.57430726,172.15742,35.62767
642.8668,388622423.12075394,168.03549,36.47406
214.22635,388622451.2712415,168.36684,37.044323
105.935875,388622470.51875687,175.93858,39.55822
356.61115,388622475.147419,172.00119,39.846573
790.04865,388622567.41721225,174.62047,41.248203
680.5017,388622580.143098,172.52312,39.864517
245.65851,388622639.5475375,179.94469,38.776104
234.07077,388624137.7740886,165.92044,35.37191
822.86145,388624299.2962909,173.22057,37.477264
208.09196,388624348.4852074,179.44931,41.705006
456.47726,388624410.2700728,178.54132,35.87328
182.30936,388626981.30568165,175.52971,42.06315
1238.7582,388627679.1389865,172.13748,35.154224
463.77042,388633915.87173176,170.84314,39.059647
678.5165,388633918.877502,169.45331,37.43684
392.21786,388633925.48936564,170.22667,39.168472
1596.7535,388633958.8388074,178.59436,37.987144
303.11984,388633984.10277915,175.323,39.747032
416.7292,388633998.8574604,174.89294,38.594437
808.2595,388634014.035576,175.48164,42.102333
6009.0024,388634017.074135,176.90996,40.751072
327.25394,388635739.1621127,172.97278,38.95115
489.10336,388635800.5471721,178.30067,35.30597
258.17743,388636846.912007,171.72032,38.32149
399.3898,388636923.43754625,173.58601,37.80977
313.49933,388637786.7896901,173.10048,39.29004
324.32053,388638048.52122515,170.27217,35.963844
193.11111,388638202.4937256,179.11885,40.311863
187.38475,388639174.57746416,173.20357,37.149086
284.7416,388645387.0163352,175.06577,39.811783
1225.9025,388645429.1756119,179.99992,39.224426
442.10522,388645462.89343196,170.93202,38.916714
370.5096,388645482.3986633,178.99632,41.70271
700.81494,388645534.71626204,174.81766,41.763096
1046.335,388647028.01446694,165.82085,35.55259
127.16379,388647220.765764,166.4267,35.608063
256.55762,388647257.77144736,175.41537,40.88823
237.73627,388647291.13410497,179.0847,34.00614
245.56812,388649177.7297083,173.8196,40.71265
284.869,388649423.4954179,165.41963,35.58066
321.36835,388649736.1641431,173.25822,39.790226
201.83496,388650046.5145013,171.91371,36.32902
106.6744,388650199.06749535,178.05096,40.494064
411.49686,388656836.22445834,176.92554,37.18801
2438.1306,388656851.4481679,177.38466,39.15356
148.74759,388656851.4497133,172.87767,38.18903
760.6629,388656852.6923609,170.57278,37.63482
802.33514,388656880.180483,173.46397,40.333908
756.7535,388656905.44626635,178.59479,41.661808
272.01797,388656911.3857435,176.36555,39.985813
413.01636,388656914.2391373,177.53467,41.557865
369.90536,388658360.66803575,167.60808,37.159023
409.70883,388658597.53810483,168.37418,36.02648
1068.4922,388658691.481741,174.26625,36.371017
159.30717,388658883.1059511,178.91989,39.10272
121.1505,388659117.73161215,175.46188,38.563877
592.64056,388659566.05997306,176.30687,37.45593
643.02264,388659710.85757434,178.19884,38.155186
795.2749,388660170.8537047,177.17088,41.40934
125.74337,388660404.5245557,179.09038,41.88483
101.28825,388660454.43347996,175.6613,42.109745
101.60268,388661007.8007799,170.66342,38.181988
168.86214,388661396.14365363,170.14738,38.028976
134.92665,388661485.94849867,170.37593,36.100193
3680.8396,388661753.28994936,172.50482,38.184498
939.51556,388661792.08293754,175.34244,41.107143
175.80522,388662069.74321103,176.64714,42.24773
242.03023,388668268.71352834,171.78685,40.089466
398.08984,388668334.8248134,177.87663,38.48535
361.5629,388668337.82706386,179.29295,41.211494
597.457,388668348.402979,170.66994,39.30968
2038.9948,388668349.6536167,175.72374,36.76448
460.10938,388668430.15769243,174.59386,40.06407
342.08975,388668433.35193443,172.99332,39.378494
122.99385,388668471.2580836,175.9918,41.190952
250.42738,388670218.71739966,176.34239,35.205315
1560.6133,388670240.37178993,177.21646,41.191574
137.5285,388670862.13210416,176.1882,37.03739
423.9271,388671046.04579866,169.30919,36.96872
164.49791,388671166.1878991,171.81635,38.94774
267.2282,388671364.45668685,177.50723,37.476826
152.97087,388671597.1534117,171.73985,37.58311
1585.8451,388672084.90312773,170.18343,38.57652
117.143715,388672860.06599003,177.78076,40.166344
281.70255,388673402.93615085,174.07198,37.06202
162.22507,388679744.3427422,173.4603,41.02485
525.626,388679788.3275703,169.8599,38.57721
559.12164,388679811.80207634,172.63808,40.251064
640.854,388682264.56319475,172.5118,38.80886
147.39441,388682282.4574215,178.53123,36.04426
322.2342,388682393.2024484,171.70401,35.099438
292.61267,388682719.9636511,173.7949,35.90936
312.64017,388683359.15384614,170.7661,36.141754
760.4485,388683379.5683236,170.82747,35.87997
220.05177,388683476.89162314,175.18259,36.433056
158.5363,388683968.50458395,175.2221,40.10558
608.4832,388684158.4172534,167.98853,36.624344
2087.952,388684334.8064703,167.80057,37.13249
172.77065,388684960.74853194,177.69502,35.92005
185.47513,388691279.050981,176.21367,40.3834
129.03104,388694810.8244906,177.24715,41.69105
991.9513,388695605.3291211,175.16577,39.76864
247.91013,388603187.199422,164.87402,31.73459
1401.95,388603458.09713846,162.28148,30.013971
136.38753,388603483.2098573,164.97528,24.366192
105.871056,388603987.68863946,157.97984,26.286882
300.96164,388604684.7515649,160.63203,27.05067
446.0414,388612472.12028295,157.02843,26.092333
397.31116,388612503.8123206,161.53816,32.082626
170.39061,388612514.05227864,162.91467,29.798674
366.01266,388624074.0048009,159.9744,30.834038
103.49074,388624106.9311531,163.17195,32.243504
419.66815,388626621.8145875,162.97125,33.003098
284.32825,388627647.9743187,157.13387,26.142124
285.47314,388635524.4973914,161.59416,27.011484
174.32625,388635579.51582044,162.74887,33.361275
133.04623,388636349.0797081,163.84177,25.528683
1146.6959,388636617.68301994,164.01874,28.603142
212.3989,388637931.7005081,161.91904,31.587065
551.67535,388646835.22827995,160.74919,25.74899
522.4207,388646884.7192378,158.21182,26.990074
323.50275,388646924.817313,156.76186,26.614006
1157.9104,388646954.32654274,163.85008,32.615467
365.6738,388646994.3899612,162.56749,24.814587
167.7018,388648223.28330684,158.30885,27.052414
189.12024,388648500.74168956,158.9154,29.555073
100.98237,388648651.75383246,161.07996,25.991693
337.12387,388648937.6197983,166.65318,24.658554
120.86228,388649254.88299936,162.19456,26.942245
119.37998,388649438.6389994,164.3064,33.59134
3015.4985,388649953.51268494,162.15985,27.25872
