Source_Name,CLASS1,Signif_Avg,Energy_Flux100,Variability_Index
4FGL J0027.0-1134,,4.384866714477539,7.703739989678438e-13,14.851183891296387
4FGL J0030.2-5149,,4.768759727478027,1.4679682166021668e-12,16.943281173706055
4FGL J0030.6+0539,,4.134409427642822,3.3452797823518843e-12,9.226397514343262
4FGL J0030.9-3618,,6.2861433029174805,1.1696684202797125e-12,22.927093505859375
4FGL J0031.0-2327,,10.293872833251953,1.206430246501744e-12,6.941532611846924
4FGL J0031.5-4025,,3.578659772872925,1.1034407979351735e-12,8.784404754638672
4FGL J0031.5-5648,,7.580048084259033,1.467218490799893e-12,17.87520980834961
4FGL J0032.3-5539,,4.94779109954834,5.441011682004449e-13,11.875284194946289
4FGL J0034.6+6438,,9.881762504577637,5.755231794607463e-12,16.906688690185547
4FGL J0035.2-1739,,4.530230522155762,7.056904973573586e-13,8.990650177001953
4FGL J0037.2-2653,,4.131890296936035,1.3378367424293769e-12,9.608155250549316
4FGL J0039.1+6257,,28.652711868286133,1.0881167494813937e-11,11.307318687438965
4FGL J0039.7+4203,,5.292999744415283,1.6204042231279803e-12,17.638689041137695
4FGL J0040.2-2725,,6.6147356033325195,1.1239099928506135e-12,5.957855224609375
4FGL J0040.7-7157,,7.717175006866455,1.0482520884300128e-12,20.427865982055664
4FGL J0041.3-0048,,4.344913482666016,2.4510762343388226e-12,20.845008850097656
4FGL J0042.3+3509,,4.001865386962891,8.882748594833678e-13,14.719978332519531
4FGL J0045.8-1324,,5.91141414642334,9.85443172375755e-13,13.071258544921875
4FGL J0045.9-2021,,8.427848815917969,1.643547711122073e-12,14.679758071899414
4FGL J0046.7-7048,,4.6700825691223145,1.0131877975494419e-12,12.760611534118652
4FGL J0046.9+0705,,5.085493564605713,1.4046851789378811e-12,24.414226531982422
4FGL J0048.6-6347,,18.786876678466797,2.512084290584582e-12,7.8559250831604
4FGL J0050.8+3330,,4.747795581817627,1.6724585041524853e-12,8.842626571655273
4FGL J0052.1+6444,,9.469555854797363,5.571793026959426e-12,14.935933113098145
4FGL J0054.4-1503,,3.8962290287017822,5.592428104807257e-13,11.401110649108887
4FGL J0055.7+4507,,4.497835159301758,5.961050880340379e-13,10.595842361450195
4FGL J0057.5+6814,,3.530120849609375,3.2941722266643936e-12,9.877665519714355
4FGL J0057.9+6326,,10.585463523864746,3.11914665103441e-12,16.038944244384766
4FGL J0058.1+6915,,5.472796440124512,3.4624219723972116e-12,18.678075790405273
4FGL J0058.3-4603,,5.7239179611206055,9.998932020902074e-13,20.4698543548584
4FGL J0059.4-5654,,25.888341903686523,8.164290424272913e-12,100.92181396484375
4FGL J0102.0-6240,,7.852290153503418,1.3935895623248817e-12,27.509489059448242
4FGL J0102.1+4458,,4.894079685211182,6.803573004456054e-13,18.862844467163086
4FGL J0102.3+1000,,12.36252212524414,2.1597558810815265e-12,17.637331008911133
4FGL J0104.6-0818,,4.279239177703857,1.5293041355848858e-12,14.557904243469238
4FGL J0104.8-2215,,4.147708892822266,5.559658094143882e-13,74.58478546142578
4FGL J0106.1+1131,,6.747186183929443,1.5480917329308008e-12,16.507583618164062
4FGL J0107.4+0459,,5.90118932723999,1.0928338312413133e-12,13.892766952514648
4FGL J0110.0-5246,,6.80018949508667,9.965113586737906e-13,25.367168426513672
4FGL J0110.6+0415,,4.52492094039917,8.966439244730007e-13,11.052282333374023
4FGL J0112.0+3442,,4.858043193817139,1.3364895128098464e-12,17.455366134643555
4FGL J0112.5-0651,,4.888465404510498,2.2070494303666477e-12,19.587339401245117
4FGL J0115.4-2917,,7.327588081359863,1.2062132976470297e-12,11.851418495178223
4FGL J0116.8+6914,,7.234468460083008,4.261008646616604e-12,7.946665287017822
4FGL J0117.9+1430,,7.040916442871094,2.4553646876118718e-12,29.458608627319336
4FGL J0118.3-6008,,13.641717910766602,2.730552329383018e-12,69.52318572998047
4FGL J0120.1+0505,,4.011519432067871,1.2496982615406438e-12,17.762113571166992
4FGL J0120.2-7944,,4.887416362762451,9.932160345907382e-13,21.396339416503906
4FGL J0121.4-7216,,5.210273265838623,5.99299472894832e-13,9.775186538696289
4FGL J0121.5+7906,,5.060308933258057,1.211216348571964e-12,15.243316650390625
4FGL J0122.4+1034,,5.7983479499816895,1.0410874636337941e-12,19.406536102294922
4FGL J0122.4-1509,,4.379289150238037,6.067633917007653e-13,10.271653175354004
4FGL J0123.7-4129,,4.0951337814331055,6.288211054292225e-13,7.286651611328125
4FGL J0124.0+3035,,7.149786949157715,2.715890446564062e-12,17.2352352142334
4FGL J0125.3+6820,,7.067701816558838,4.67103309156891e-12,19.88065528869629
4FGL J0125.8-6348,,4.824377059936523,1.1504932206571339e-12,10.647394180297852
4FGL J0125.9-6303,,5.304386138916016,1.0262938502508812e-12,11.505228042602539
4FGL J0126.3-6746,,6.009108066558838,8.098222071227512e-13,12.940694808959961
4FGL J0126.8+2412,,6.949248790740967,2.812470308727333e-12,45.1265983581543
