ENERGY,TIME,RA,DEC
142.65445,488253391.7650847,308.68414,0.495381
478.54825,488253392.5469271,308.41052,4.5642915
160.62024,488253394.0807726,306.9416,8.948152
518.73334,488253403.48668176,308.30505,5.832231
2609.757,488253404.29712224,311.263,1.2431868
1202.81,488253406.6667987,306.2975,11.296761
2437.9124,488253407.17311424,311.80627,2.148008
675.5875,488253408.89951956,309.55792,6.1025686
733.8288,488253425.39594537,306.85678,10.715515
313.2941,488253431.8196666,308.42645,2.719466
543.45087,488253433.35898066,311.4388,2.549937
130.2897,488253440.0685004,306.63895,10.869714
138.47314,488255126.4968175,306.67365,8.725771
252.675,488255794.78979486,307.39734,2.1926734
205.98889,488258977.8867329,308.3504,2.836737
215.14706,488258978.29015046,305.62546,7.1009207
359.08493,488258984.6998131,304.94128,2.354521
232.90477,488259005.06777734,304.49847,1.5202013
447.00192,488259005.19503915,308.2358,3.7196035
177.33585,488259013.7937399,310.7906,2.3015285
490.5579,488259024.18479335,307.97327,3.9703572
175.25606,488259027.8651915,308.67847,1.0210695
316.84402,488259038.2544448,306.70273,3.3894079
1225.0935,488259041.5217627,309.45395,0.90256095
103.78993,488259051.08014,308.15323,8.849288
21056.82,488259054.35318726,306.96075,0.232862
2451.9224,488259054.72425824,306.29694,2.4318967
2043.7245,488259062.0636484,306.13412,3.7687426
377.12305,488259063.19477713,307.51562,4.727601
284.8553,488259065.8284556,306.24622,1.267115
431.14966,488259074.02944237,307.06628,7.189598
215.47023,488259079.5133643,310.6043,5.935283
559.1781,488259080.7239592,309.45856,6.832826
322.53162,488259086.3717869,305.66855,7.5012565
259.62402,488259089.96527547,306.4534,7.374074
994.9752,488259093.0331217,309.668,0.8781697
323.058,488259102.63433623,314.84982,0.08990973
328.0448,488259106.06039983,307.66092,8.368678
400.7815,488259117.3117182,311.0247,2.5727615
218.56955,488259121.1840678,311.4181,2.2736318
1395.0468,488259143.94239104,312.53043,2.194407
181.58875,488259145.9392097,308.539,6.435843
846.8679,488259151.58211607,309.942,6.0814767
1145.2795,488260942.0725482,306.90353,4.6781335
215.72575,488261003.3353226,310.2103,3.290832
443.10187,488261302.83544207,304.59164,0.5416395
6240.4395,488261863.05955786,308.03314,8.209698
192.90817,488264696.88944775,304.67615,3.6276836
186.09378,488264706.2692432,305.53247,7.6277547
1542.5457,488264713.1381655,304.80316,2.6026998
308.253,488264716.9383295,308.71906,5.2349334
207.66597,488264726.7672328,305.87604,8.202027
128.54327,488264740.32314247,307.49588,3.7925131
1522.7183,488264747.54813004,306.5739,1.5995345
333.3284,488264753.7381143,311.89197,4.093875
199.66196,488264764.0446874,309.39145,3.5316617
116.947136,488264768.0443563,307.3207,3.9542575
257.771,488264774.06402665,306.23584,7.5436063
276.5548,488264778.1006967,306.11182,1.0202008
782.70026,488264780.70167965,307.15967,7.295135
274.86597,488264784.49969643,306.49008,10.839591
115.37711,488264788.8022067,307.17297,10.625886
204.39256,488264801.01400125,307.57864,3.9065282
191.08911,488264802.6363866,312.52185,0.8036597
1206.6364,488264809.2454513,308.7385,1.2104435
367.42697,488264809.8501242,308.2354,6.868635
503.3074,488264809.97298676,310.4192,2.082449
116.764404,488264811.8769204,309.22733,6.4427795
201.49286,488264814.6195268,308.53098,2.6681216
145.70262,488264816.6637268,311.86795,1.2769125
306.07812,488264817.95188254,307.01245,9.573267
1124.3256,488264823.6964333,307.6695,7.228242
334.79977,488264826.18778896,309.7263,7.254436
659.95636,488264834.27925897,309.82068,6.781006
597.6699,488264834.87360513,311.4537,4.2177896
261.1975,488264850.64479953,309.84012,2.0835092
233.48506,488264869.09004724,306.6152,6.3801785
417.32336,488264869.79926306,311.2203,4.765297
112.40506,488264920.52271533,311.80396,0.5413122
496.7164,488265057.92582613,307.84406,8.554184
663.9833,488267301.7495347,309.36874,1.7963271
512.8172,488267309.16499025,312.7149,2.5531728
384.56067,488270352.9508429,308.46646,2.145689
150.91902,488270359.3096441,306.3719,0.8011928
805.3075,488270362.2655612,308.0171,1.1939968
125.58059,488270368.829958,304.37537,1.4208183
212.7979,488270374.9154129,305.82965,1.2503895
119.29989,488270375.70329404,308.18744,5.7211256
381.3459,488270395.7994667,306.6419,0.87675816
222.78802,488270403.3436861,306.58725,5.738655
124.49214,488270410.1483269,305.99445,8.630484
554.14014,488270414.7007313,310.06604,2.1964748
665.3652,488270418.59476745,304.97873,2.891212
223.29004,488270423.58352065,304.2878,0.0012389829
346.26886,488270425.34650755,307.29382,0.98635346
159.62105,488270425.75131595,305.84143,5.499254
559.2955,488270427.4054064,304.4795,0.85563695
290.9958,488270432.7779959,309.31985,3.9800162
154.08295,488270434.1158467,307.85422,7.0833106
146.31184,488270437.7863239,305.41644,1.963561
143.96234,488270444.9067736,304.9552,4.5130305
205.27248,488270448.56600195,308.30582,3.968729
627.32764,488270448.7229523,305.00674,5.1347775
958.87134,488270450.7317736,305.00937,0.10991404
129.0638,488270450.94802237,306.86987,10.310402
112.17,488270455.2880803,306.5498,5.83613
143.66788,488270458.49213934,308.24033,0.062200204
185.86107,488270460.85214126,308.5694,4.1724496
729.4728,488270467.43081754,310.22662,6.125282
380.48962,488270483.684384,306.9318,9.251057
111.692726,488270485.97969776,306.78806,10.9952755
238.6403,488270486.6741234,306.6302,3.3823962
316.0822,488270486.78803885,307.8487,4.102085
225.57585,488270490.2304705,311.35892,0.698228
413.235,488270492.7291909,307.8776,1.463664
285.68158,488270493.5664065,311.6387,1.8894358
124.746376,488270503.12719804,305.51956,7.258361
1037.4471,488270504.40388906,307.30768,3.4343188
230.81746,488270509.3661741,309.5811,6.796558
215.65686,488270511.7264347,307.9069,1.6036644
405.02966,488270516.509909,311.81287,0.7680573
226.29948,488270528.9253199,309.6335,4.0349393
906.63354,488270531.06627864,308.86627,5.235315
192.63882,488270533.4372007,312.46582,2.9924273
158.46655,488270535.93439794,309.69373,3.6310246
654.5372,488270571.5895337,313.26697,0.74403507
102.29589,488270590.73658717,309.83215,3.8173563
207.29558,488272004.04377127,306.2848,1.1262097
304.92023,488273021.32102156,309.4101,4.02221
244.90192,488273023.9871155,304.35748,2.0249562
272.3942,488276157.6732957,306.95416,6.219511
1876.2665,488276189.4759305,308.03653,4.7003675
156.093,488276191.5865581,306.57446,7.364945
179.74673,488276200.4571041,305.31573,3.1129339
301.34268,488276202.91286147,306.6862,7.6347947
975.1268,488276203.61858857,308.43787,4.262165
214.6471,488276208.06551754,306.64224,10.878627
276.29736,488276209.7483621,306.9347,5.954316
250.34119,488276212.02296805,307.78958,0.6916097
166.4181,488276220.0893184,306.49637,5.522938
46818.066,488276222.3191225,307.29468,3.4612026
717.5618,488276231.43535775,308.18164,6.7780776
293.83026,488276240.1950779,307.8818,5.1218734
243.0841,488276243.75033253,309.9411,4.2615385
323.11243,488276250.3405617,312.92038,2.0861049
195.47383,488276253.6427551,309.96954,2.073569
1594.7203,488276256.1516442,306.67105,9.207439
145.39981,488276257.2941128,310.87598,0.78638
129.76706,488276284.73770434,309.41895,5.3708906
294.9024,488276289.30323434,311.44153,1.7253643
171.94823,488276322.5706738,307.9601,7.1008906
193.38434,488276328.9773332,312.44742,1.9391065
265.49814,488277348.0084613,306.67618,7.4838934
426.5495,488277449.8132852,304.43106,1.1380095
1600.3175,488277708.32446784,312.12112,3.7109501
265.2786,488278080.37884945,307.13077,7.2918963
204.11497,488278116.6427582,310.877,2.983885
396.1259,488281799.23306584,305.27808,4.869401
389.773,488281807.2538731,304.90912,0.84261435
478.79535,488281813.7615209,303.9076,0.3807226
567.22345,488281814.29414475,309.75995,2.1239011
181.51718,488281816.87987244,308.87753,3.0965545
142.4134,488281822.095054,305.44305,3.0890527
213.80507,488281824.42489856,307.89108,3.7834213
277.92062,488281832.4361183,308.9488,1.9137048
153.60547,488281832.723866,305.8023,3.991697
319.4565,488281834.54543924,310.01974,0.00424536
113.350655,488281837.0939999,304.95932,3.6155722
116.87122,488281838.65958744,312.28375,2.913451
112.64041,488281839.20249385,304.9633,2.021828
170.63876,488281839.5993509,306.2461,7.4652004
175.9393,488281844.5130187,309.7989,0.99939185
174.85497,488281856.9619606,306.5472,4.656284
216.55646,488281857.5464298,305.987,2.0219197
139.06975,488281864.1001989,308.6493,2.42806
241.1906,488281866.0401634,305.74457,7.855487
352.44986,488281866.799905,311.72546,0.7389575
126.69646,488281870.6587939,308.595,2.6419632
326.6144,488281875.0260016,310.95932,1.4430809
114.487686,488281875.0556791,307.61142,0.16344933
171.10928,488281875.7586113,308.13486,2.8885477
145.45052,488281876.4695132,311.38202,2.8879564
585.74,488281879.76256186,305.7097,7.738443
183.62425,488281879.86815476,311.6098,3.6004937
248.7034,488281887.5396669,306.45523,7.7412796
183.7345,488281888.4523538,308.42392,5.273349
1067.5845,488281890.5909911,307.098,1.4708078
530.9166,488281892.7950383,305.91464,1.9066854
197.79666,488281893.2521082,306.24957,8.560367
199.79694,488281893.4758256,308.35126,8.1462
673.38513,488281895.40028834,308.21698,4.6336913
249.29211,488281895.71695054,312.4775,1.2269121
152.55301,488281901.17807317,313.50577,1.4983737
339.77423,488281902.92569876,308.3813,3.7254176
682.7405,488281904.0843432,310.64957,0.90581846
289.3582,488281905.15203476,308.3783,4.22325
139.12805,488281906.45516956,307.93115,6.6834564
209.87662,488281906.53507173,305.15823,2.3098137
486.0662,488281907.8158476,308.38663,8.388656
814.52875,488281910.62436354,308.06622,2.0125268
340.56918,488281911.10201335,306.33768,1.8843677
142.12427,488281911.49240935,310.3829,5.7976847
365.70364,488281914.99825364,311.5627,0.83458537
131.32324,488281917.1527544,312.38208,3.0665574
245.78632,488281919.2565298,307.46878,5.6317625
193.25298,488281922.467582,305.91953,2.8885794
335.25467,488281924.0518113,312.15515,1.909609
580.0894,488281924.05719113,308.67368,2.6521106
494.00253,488281926.1227604,307.84625,1.3334978
126.35328,488281929.22468513,306.74777,8.442587
220.3749,488281929.866149,307.53036,8.205015
183.89302,488281933.0349722,311.35468,4.2718077
301.68744,488281934.8647751,311.08936,1.9584684
170.13808,488281936.79903656,308.90082,3.2548409
278.751,488281936.9472259,311.01602,4.8467374
242.19226,488281938.81658816,305.3961,2.0687697
505.682,488281941.67390466,307.29233,6.42556
147.76324,488281947.02708936,308.60062,4.6192684
187.9868,488281948.8671593,308.46402,7.9079614
143.7694,488281948.88497174,308.3138,2.4995096
226.82072,488281950.37511516,309.63037,2.9374683
400.3422,488281953.0773185,311.40018,3.0200667
278.78995,488281953.13986343,312.41837,1.7125391
977.36346,488281959.42228824,306.76303,11.004744
448.87143,488281968.20920926,311.02884,4.3835254
218.79611,488281969.140926,311.9811,2.2579496
150.55434,488281969.85502976,309.58276,6.6105676
549.156,488281971.95955646,312.40244,0.5996498
1149.4988,488281981.6838677,310.33676,4.706465
346.3951,488281983.10678655,313.90094,1.2200887
707.86237,488281983.3879458,310.08768,4.549355
177.41713,488281992.2252621,311.412,4.0240073
162.61699,488282025.4022,310.7315,3.1545174
5372.9775,488282509.7954954,304.88052,1.3404794
144.69551,488283066.858181,306.6485,7.1675115
201.73663,488284002.6589562,305.45413,3.8488922
643.62244,488284493.92863584,305.0919,2.3945856
334.14328,488287555.8323013,305.695,0.94710827
137.64172,488287584.0565146,308.10925,8.017854
733.2093,488287591.14965504,310.55478,4.8612247
165.10342,488287594.36362314,304.28363,2.4227467
1073.8121,488287595.6418184,306.46646,3.2218704
284.19757,488287596.1489041,311.5415,0.07350956
291.72052,488287600.0545247,306.8953,5.1912107
331.3574,488287600.84196573,307.1045,7.3779616
196.58542,488287603.0487811,305.4971,2.3315716
449.41302,488287603.24279344,305.26675,5.870738
275.2365,488287605.33246565,307.23343,5.1231694
172.98671,488287605.8127212,307.00223,2.5075667
166.18704,488287608.26323414,306.29776,5.221862
157.5146,488287611.01200247,311.137,3.637465
3423.3447,488287617.2423915,306.7647,0.014666743
218.52861,488287627.7262405,310.67218,0.61349666
223.23636,488287628.3531494,311.6949,0.31006962
486.86847,488287630.94553393,306.81924,8.427871
339.28308,488287631.59316784,309.11517,4.8731933
182.99394,488287631.7232907,313.56314,0.019139575
642.6821,488287634.27350074,307.62125,10.280832
212.31197,488287637.76608205,308.89926,5.5173316
136.54773,488287641.66361624,307.09268,1.7266173
828.80597,488287642.227921,305.85995,7.841811
408.3227,488287645.28841394,310.33353,5.7924743
222.566,488287645.5517821,309.48785,0.7735359
281.97595,488287650.46780795,307.91705,4.3338118
230.44682,488287651.3773993,306.3225,7.7059326
435.12732,488287654.4740463,309.8756,2.9261932
401.78122,488287658.1207104,310.5956,3.913384
1225.033,488287658.7932211,306.3286,10.104114
1495.8041,488287660.295351,310.33035,4.8400683
332.27768,488287665.16919136,310.2169,1.569553
116.17958,488287666.9737871,312.04803,2.063297
413.2538,488287668.55408704,310.07724,4.068648
138.0389,488287673.06867456,309.06488,1.5071753
700.0782,488287680.2310411,307.24942,7.0730944
656.9158,488287690.7601341,307.1437,9.943979
635.34467,488287693.49867284,312.25656,0.34508863
246.18997,488287694.3748817,310.1813,5.744766
307.0341,488287698.3803523,307.65143,4.8885865
122.19145,488287701.96772987,313.06784,0.01664993
184.25055,488287709.7664275,309.61493,5.9879313
109.03746,488287709.92225546,307.62912,8.903243
317.54092,488287726.39319694,313.3783,1.2654397
731.19653,488287805.42084056,310.23148,5.365121
155.49284,488287822.6767373,312.46957,1.6382359
126.57059,488287933.35306126,305.81018,0.014146828
108.48679,488287935.80731475,308.33176,6.973135
119.59532,488288527.929256,307.0186,5.8563724
349.18753,488288899.85513884,307.0693,0.48977622
202.85408,488289984.99184,305.08386,3.5267954
100.15281,488293235.4492796,305.70093,7.313196
318.7712,488293241.6664407,305.40887,0.24398059
264.62357,488293244.31384814,305.30664,0.7127903
114.78299,488293253.5915219,305.5319,3.7645533
118.60338,488293267.1239508,306.6114,0.9915962
565.1912,488293271.4429547,305.42523,3.6436043
122.04369,488293276.34372073,305.70773,6.61483
115.413536,488293283.1827476,308.50098,8.183094
142.31087,488293283.9339798,314.05804,0.5653325
103.9801,488293285.51219493,309.27313,1.3416234
209.04042,488293286.61685044,306.34497,6.299048
157.87758,488293287.04609805,305.28052,7.4552684
127.62035,488293288.96386606,306.93256,3.6353276
645.74927,488293291.26723546,307.6698,4.5563436
1084.6527,488293296.5571494,305.33884,2.1116257
453.64697,488293297.6532215,306.09503,4.4624176
202.82222,488293297.8778736,306.04654,0.7573764
183.83699,488293301.02611876,305.23465,1.6304802
440.17813,488293315.09935826,305.81873,9.955453
190.63263,488293317.71480316,310.39374,4.8299456
335.2571,488293319.12712157,311.31525,0.66004086
658.7832,488293319.230253,305.99268,3.99836
195.93427,488293319.5885036,306.23022,5.6267924
135.09921,488293319.6145559,314.3918,0.62306625
110.20614,488293321.1728541,311.51227,1.956329
218.75803,488293324.07244885,309.92636,1.3097756
2395.657,488293325.78503317,307.6437,2.8208005
314.35486,488293330.34945446,306.8691,2.1468325
136.90283,488293331.45520365,308.0856,5.181466
465.61987,488293332.0918472,306.3912,1.9914356
326.14633,488293332.53551894,306.8351,1.879528
257.7462,488293337.1706668,311.4691,1.6924285
169.13878,488293337.7325514,312.4787,0.43452063
116.12843,488293339.724598,307.6397,3.429691
249.53305,488293340.3363645,309.01398,0.3354618
167.7011,488293342.935828,306.46555,11.163607
204.34633,488293343.82422364,306.76062,7.434886
178.48633,488293345.4901235,305.64514,7.4681087
143.4397,488293346.70347327,309.3888,5.0196247
272.43924,488293350.2574696,311.02072,4.251848
133.53746,488293353.73782384,309.25662,4.3945146
204.80928,488293355.0852329,307.62238,7.950887
2187.7153,488293357.62374955,308.53552,0.9915839
142.68564,488293359.78003585,308.3939,2.0970325
161.22739,488293362.99158835,305.7301,8.346804
179.76169,488293364.6327486,309.7501,4.949413
852.87024,488293365.8682254,308.82275,7.7925024
128.72562,488293368.7328083,306.29697,11.165494
529.2832,488293368.7938867,307.19818,2.0091584
246.61124,488293372.0392005,313.92557,0.39464754
308.52103,488293374.6190949,306.40326,7.394983
133.2015,488293375.3789724,309.5518,2.3834116
392.08,488293377.7180107,308.66376,6.5866117
1617.6833,488293380.4217537,306.30008,8.076917
218.11288,488293382.47051316,310.716,1.164375
103.794136,488293382.69730425,305.68875,9.207446
282.48395,488293383.027839,308.05753,7.4871497
153.75186,488293386.2069299,307.40796,0.36508456
465.3261,488293386.2077271,309.24722,5.762291
4280.254,488293386.76443595,309.64368,2.216624
226.15361,488293389.7960605,311.08286,5.0987663
385.49823,488293390.4939848,306.38025,6.6732244
154.78758,488293391.0084024,306.17484,9.421198
332.09848,488293394.8414046,309.3163,5.562287
234.96178,488293398.44535774,308.1062,1.3621105
1235.5221,488293410.4324834,309.10663,4.6572156
172.73407,488293422.51732916,310.39798,4.8429613
267.03305,488293443.4545306,309.88123,5.910901
326.8549,488293452.0264269,313.02725,0.8562729
100.42178,488293458.1354783,309.41992,0.07030812
209.35828,488293458.527934,311.7228,2.4161716
