index,source_name,ra,dec,glon,glat,energy_flux,flux_uncertainty,significance,significance_peak,variability_index,frac_variability,spectrum_type,pl_index,pl_flux_density,class1,class2,assoc1,assoc2,flags
7035,4FGL J2323.4+5849,350.8613,58.8173,111.74103,-2.1293523,6.182081e-11,1.6620434e-12,86.644516,-inf,7.8407965,0.0,LogParabola,1.992063,1.2412992e-12,snr,unk,Cas A,NVSS J232325+584856,0
7036,4FGL J2323.5-0317,350.8884,-3.29,77.74508,-58.228996,3.552275e-11,9.217006e-13,83.668594,43.027157,1106.4972,0.67326134,LogParabola,2.270182,1.1280482e-11,fsrq,,PKS 2320-035,,0
7037,4FGL J2323.6-0617,350.9157,-6.2953,73.92467,-60.520443,4.5377872e-12,5.525333e-13,17.324966,16.846859,210.98393,1.189845,LogParabola,2.4232132,1.1064241e-12,fsrq,,TXS 2321-065,,0
7038,4FGL J2323.8+4210,350.9749,42.1826,106.06819,-17.804655,1.9065752e-11,8.5840693e-13,54.638897,14.368616,64.031334,0.23300481,LogParabola,1.9067622,5.1736653e-13,bll,,1ES 2321+419,,0
7039,4FGL J2323.9+2519,350.9781,25.3322,99.118095,-33.460175,2.1059307e-12,3.4285105e-13,7.4221983,-inf,6.8364906,0.0,PowerLaw,2.2746348,7.5484845e-14,,,,,0
7040,4FGL J2323.9+6219,350.999,62.3299,112.97275,1.1609839,3.4034284e-12,1.4124459e-12,3.28433,-inf,11.165921,0.0,PowerLaw,2.4845479,2.2331537e-14,,,,,4096
7041,4FGL J2324.5+7950,351.1465,79.8362,119.00395,17.633142,1.9347252e-12,5.315477e-13,4.055713,-inf,7.5883436,0.0,PowerLaw,2.6212082,1.01356464e-13,,,,,16
7042,4FGL J2324.6+3115,351.17,31.2573,101.95449,-28.056122,2.5300816e-12,5.717945e-13,4.2510743,3.3457794,32.652122,0.65420794,PowerLaw,2.7450733,5.5955235e-13,,,,,16
7043,4FGL J2324.7-4041,351.1817,-40.6834,350.1928,-67.58003,1.1522447e-11,7.4814823e-13,39.58121,17.181326,102.61761,0.53503674,LogParabola,1.762362,1.1443876e-13,bll,,1ES 2322-409,,0
7044,4FGL J2324.7+0801,351.1896,8.0282,89.02081,-49.05167,8.492992e-12,5.228284e-13,24.657232,11.117924,44.517365,0.36594146,PowerLaw,2.1733146,2.8348968e-13,bll,,PMN J2324+0801,,0
7045,4FGL J2325.2-2010,351.3075,-20.1746,47.738155,-69.10543,1.7384625e-12,2.964385e-13,9.554523,-inf,19.734583,0.42558396,PowerLaw,1.8541318,7.0471866e-15,bcu,,NVSS J232520-201213,,0
7046,4FGL J2325.2+3957,351.3154,39.9542,105.502754,-19.98307,1.2049747e-11,6.6480393e-13,41.139606,21.02753,104.498505,0.3976855,LogParabola,2.1254606,9.684812e-13,bll,,B3 2322+396,,0
7047,4FGL J2325.4-4800,351.3501,-48.0022,335.9466,-63.239315,1.4825079e-11,8.1855323e-13,49.920807,23.21898,246.88864,0.61337763,LogParabola,2.0699673,7.7533775e-13,bll,,PKS 2322-482,,0
7048,4FGL J2325.4-3559,351.3586,-35.9878,1.7202271,-69.71118,1.3845239e-11,5.4192344e-13,52.31122,23.248934,189.21405,0.39433518,LogParabola,2.3125663,5.310964e-12,fsrq,,CTS 0490,,0
7049,4FGL J2325.6+1644,351.4248,16.746,95.10169,-41.446236,2.2942973e-12,3.35089e-13,9.6166,-inf,18.749891,0.37219855,PowerLaw,1.9918602,2.3092375e-14,bll,,NVSS J232538+164641,,0
